,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.0,0.01,0.0125,0.0,0.0,0.011428571428571429,0.01,0.015,0.13,0.06,0.01
1,0.02,0.03666666666666667,0.06261904761904762,0.0,0.0,0.275,0.025,0.01,0.02,0.08133333333333333,0.005
2,0.59,0.021666666666666664,0.015,0.02,0.01,0.0,0.0,0.0,0.015,0.09,0.013999999999999999
3,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07166666666666667,0.01,0.0
4,0.0,0.0,0.006666666666666666,0.0,0.0,0.0,0.01,0.0,0.01,0.685,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.02,0.0,0.0
6,0.02,0.01,0.045,0.0,0.01,0.0,0.0125,0.01,0.1,0.025833333333333333,0.01
7,0.0,0.01,0.03,0.0,0.005,0.0,0.15,0.0,0.215,0.03,0.0
8,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0
9,0.0,0.02,0.03,0.01,0.0,0.0,0.05125,0.0,0.03,0.07,0.0
10,0.0,0.01,0.026666666666666665,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4441904761904761,0.0,0.0
12,0.0,0.0,0.06966666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.46833333333333327,0.08316666666666667
13,0.0,0.0,0.03766666666666667,0.0,0.01,0.0,0.02,0.0,0.04,0.2375,0.015
14,0.0,0.0,0.04,0.02,0.0,0.01,0.1025,0.0,0.33,0.066,0.0
15,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.18,0.01,0.0
16,0.0,0.006666666666666666,0.005,0.0,0.0,0.0,0.02,0.0,0.09,0.02,0.0
17,0.0,0.015,0.04333333333333333,0.0,0.0,0.0,0.01,0.0,0.067,0.275,0.0
18,0.0,0.01,0.026666666666666665,0.0,0.01,0.0,0.05,0.0,0.09,0.12,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.29,0.02,0.0
20,0.01,0.004,0.06,0.06,0.03,0.02,0.04,0.01,0.03,0.08333333333333334,0.01
21,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.005,0.0
22,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.01,0.03,0.0
23,0.0,0.03,0.14183333333333334,0.01,0.005,0.01,0.03,0.0,0.055,0.05333333333333334,0.01
24,0.01,0.02,0.0225,0.02,0.0,0.0,0.02,0.0,0.055,0.21666666666666665,0.0
25,0.02,0.01,0.02,0.0,0.01,0.0,0.04,0.0,0.04,0.016666666666666666,0.01
26,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
27,0.0,0.01,0.05,0.01,0.005,0.0,0.095,0.02,0.05,0.04,0.0
28,0.01,0.01,0.0375,0.18,0.01,0.0011111111111111111,0.1,0.03,0.06333333333333334,0.14,0.014444444444444444
29,0.0,0.03,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.065,0.0
30,1.0,0.02,0.02333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
31,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.015,0.01,0.122,0.0
32,0.01,0.01,0.0525,0.0,0.01,0.01,0.01,0.0,0.12,0.08333333333333331,0.0
33,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0
34,0.03,0.0275,0.005,0.0,0.0,0.01,0.0,0.0,0.05,0.02,0.0
35,0.0,0.02,0.03,0.0,0.0,0.0,0.07,0.0,0.17666666666666664,0.05,0.0
36,0.13,0.025,0.005,0.01,0.01,0.0,0.0,0.01,0.055999999999999994,0.0225,0.003333333333333333
37,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0
38,0.0,0.46,0.5,0.01,0.0,0.01,0.0,0.0,0.56,0.7,0.0
39,0.01,0.01,0.035,0.0,0.0,0.0,0.0,0.0,0.01,0.0425,0.0
40,0.01,0.03933333333333333,0.2534722222222221,0.01,0.01,0.0,0.0,0.01,0.0,0.20983333333333332,0.09710714285714285
41,0.01,0.02,0.045,0.01,0.01,0.0,0.065,0.03,0.04,0.14666666666666667,0.0
42,0.0,0.0075,0.03166666666666666,0.0,0.0,0.0,0.06333333333333334,0.0,0.05,0.04,0.0
43,0.0,0.0,0.035,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.0
44,0.01,0.4098333333333333,0.3558333333333333,0.0,0.0,0.0,0.0025,0.0,0.017142857142857144,0.49161904761904773,0.39166666666666666
45,0.01,0.0475,0.08041666666666668,0.0,0.0,0.0,0.02,0.0,0.06,0.04,0.0
46,0.02,0.03,0.14416666666666667,0.0,0.02,0.01,0.075,0.01,0.08833333333333332,0.07333333333333333,0.03
47,0.03,0.01,0.01,0.0,0.0,0.01,0.06,0.0,0.11,0.02,0.006666666666666666
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.02,0.01,0.08,0.02,0.02,0.01,0.06,0.0,0.15666666666666665,0.08,0.01
50,0.0,0.035,0.03,0.0,0.0,0.0,0.004,0.0,0.0,0.02,0.0
51,0.0,0.032,0.12333333333333332,0.0,0.02,0.0,0.03,0.02,0.02,0.41,0.01
52,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.13,0.06,0.0
53,0.0,0.01,0.015,0.0,0.01,0.0,0.05,0.0,0.11,0.034,0.0
54,0.01,0.013333333333333332,0.02952380952380952,0.01,0.02,0.0,0.55,0.0,0.0275,0.03,0.013333333333333332
55,0.01,0.0,0.0275,0.02,0.0025,0.01,0.0,0.0,0.01,0.045,0.0
56,0.0,0.0,0.01,0.0,0.0,0.005,0.01,0.0,0.01,0.265,0.0
57,0.0,0.02,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.1025,0.01,0.0
58,0.06,0.025,0.08,0.01,0.04,0.0,0.03,0.01,0.04,0.035,0.0
59,0.0,0.0,0.4216666666666666,0.0,0.0,0.01,0.025,0.0,0.02,0.03333333333333333,0.0
60,0.01,0.05,0.02,0.0,0.03,0.0,0.06,0.0,0.05,0.06,0.015
61,0.01,0.01,0.015,0.0,0.0,0.0,0.016,0.0,0.01,0.02,0.0
62,0.0,0.005,0.02333333333333333,0.0,0.0,0.0,0.11,0.0,0.06,0.07,0.0
63,0.01,0.013333333333333332,0.0625,0.0,0.013333333333333332,0.01,0.022000000000000002,0.05,0.05199999999999999,0.13,0.0
64,0.0,0.013333333333333332,0.07,0.0,0.0016666666666666666,0.0,0.14,0.0,0.02,0.14,0.0
65,0.0,0.65,0.034166666666666665,0.0,0.011666666666666667,0.0,0.04333333333333333,0.01,0.0,0.04833333333333334,0.0
66,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666668,0.0
67,0.0,0.55,0.49,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0
68,0.04,0.19499999999999995,0.061,0.03,0.02,0.0,0.03,0.01,0.01,0.105,0.025
69,0.03,0.023333333333333334,0.01,0.0,0.04,0.0,0.16,0.01,0.12,0.07,0.01
70,0.0,0.0,0.035,0.0,0.01,0.01,0.02,0.01,0.04,0.05,0.01
71,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.24,0.3316666666666667,0.0
72,0.0,0.17833333333333334,0.14,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.0
73,0.04,0.06,0.04666666666666666,0.03,0.013333333333333332,0.0,0.03,0.013333333333333332,0.016666666666666666,0.085,0.02
74,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.06,0.0,0.01,0.0,0.03,0.0,0.01,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.0
77,0.0,0.0,0.04333333333333334,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.0
78,0.0,0.0,0.01,0.0,0.04,0.08,0.04,0.0,0.08,0.04,0.01
79,0.87,0.01,0.05,0.0,0.0,0.0,0.056666666666666664,0.0,0.01,0.06333333333333332,0.01
80,0.0,0.04416666666666667,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
81,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.08,0.03,0.0
82,0.01,0.01,0.0275,0.0,0.005,0.01,0.11,0.0,0.07,0.03,0.005
83,0.02,0.07,0.12,0.01,0.02,0.03875,0.06666666666666667,0.0,0.055,0.03866666666666667,0.0
84,0.11,0.052000000000000005,0.04333333333333334,0.0,0.0,0.01,0.0,0.0,0.06,0.086,0.008333333333333333
85,0.0,0.01,0.044000000000000004,0.01,0.01,0.0,0.096,0.0,0.18,0.09,0.0
86,0.63,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0
87,0.0,0.035,0.04,0.0,0.01,0.01,0.09666666666666666,0.01,0.04,0.209,0.03
88,0.04,0.0325,0.10383333333333333,0.0,0.0,0.01,0.0,0.0,0.0325,0.7025,0.0
89,0.0,0.01,0.03,0.0,0.01,0.0,0.09,0.01,0.1,0.055,0.01
90,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.18,0.035,0.0
91,0.01,0.045,0.0275,0.0,0.02,0.006666666666666666,0.06,0.03,0.11,0.035,0.01
92,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.01,0.05,0.045,0.0
93,0.99,0.01,0.035,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
94,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.0
95,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.035,0.0,0.0
96,0.03,0.01,0.26666666666666666,0.0,0.01,0.0,0.04,0.0,0.06,0.25300000000000006,0.0
97,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0
98,0.0,0.034,0.044000000000000004,0.01,0.0,0.0,0.005,0.01,0.04,0.04,0.01
99,0.47,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.04,0.0
100,0.02,0.01,0.0,0.0,0.01,0.03,0.0,0.01,0.02,0.06,0.01
101,0.03,0.01,0.01,0.0,0.022000000000000002,0.01,0.04,0.0,0.1025,0.11,0.0
102,0.0,0.0,0.005,0.0,0.0,0.0,0.04,0.0,0.03,0.02,0.0
103,0.0,0.025,0.02,0.0,0.0,0.0,0.03,0.0,0.07,0.02,0.0
104,0.0,0.01,0.59,0.0,0.0,0.0,0.03,0.0,0.05,0.64,0.0
105,0.0,0.0,0.07,0.0,0.11333333333333333,0.0,0.09,0.0,0.01,0.06,0.07
106,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.006666666666666666,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.0,0.0
108,0.01,0.07,0.07,0.06,0.01,0.0,0.04,0.0,0.04,0.21,0.01
109,0.04,0.31,0.4,0.0,0.04,0.0,0.05,0.02,0.09,0.05,0.0
110,0.01,0.01,0.04166666666666667,0.0,0.02,0.0,0.01,0.0,0.056666666666666664,0.09666666666666668,0.01
111,0.76,0.01,0.002,0.0,0.0014285714285714286,0.01,0.01,0.005,0.0,0.055,0.003333333333333333
112,0.26,0.0,0.035,0.0,0.0,0.0,0.04,0.0,0.0425,0.04,0.0
113,0.02,0.01,0.07,0.0,0.0475,0.02,0.04333333333333333,0.03,0.06333333333333332,0.10333333333333333,0.03
114,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.03,0.0,0.0
115,0.0,0.02,0.05333333333333333,0.02,0.01,0.0,0.03,0.035,0.02,0.07,0.012
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0
117,0.0,0.0625,0.1275,0.0,0.02,0.0,0.03666666666666667,0.04,0.05,0.165,0.018
118,0.96,0.02,0.02,0.01,0.0,0.03,0.02,0.02,0.01,0.0425,0.0
119,0.0,0.02,0.14333333333333334,0.0,0.0,0.0,0.03,0.0,0.02,0.03,0.0
120,0.0,0.013333333333333332,0.01,0.0,0.0,0.0,0.04,0.0,0.03,0.04,0.01
121,0.01,0.01,0.02,0.0,0.0,0.01,0.055999999999999994,0.0,0.02,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.015,0.01,0.0
123,0.0,0.02,0.01,0.01,0.01,0.0,0.09,0.01,0.15333333333333335,0.01,0.0
124,0.0,0.0,0.7,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0
125,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.37,0.0
126,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.755,0.04,0.01
127,0.01,0.02,0.9,0.0,0.0,0.0,0.01,0.0,0.04,0.02,0.0
128,0.01,0.01,0.01,0.0,0.0,0.0,0.07,0.0,0.31,0.02,0.0
129,0.0,0.045,0.02,0.03,0.01,0.02,0.02,0.0,0.05,0.1716666666666667,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.03,0.0
131,0.0,0.045,0.045,0.0,0.01,0.0,0.0625,0.02,0.1,0.07,0.0
132,0.0,0.0375,0.026000000000000002,0.0,0.0,0.0,0.005,0.0,0.03,0.13,0.0
133,0.02,0.01,0.01,0.0,0.0,0.0,0.16,0.0,0.06,0.02,0.0
134,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.0
135,0.04,0.02,0.065,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.013333333333333332
136,0.11,0.02,0.1075,0.01,0.01,0.0,0.12904761904761905,0.03,0.114,0.19933333333333333,0.03
137,0.0,0.01,0.06,0.0,0.0,0.0,0.04,0.02,0.04,0.055,0.01
138,0.0,0.03,0.09228571428571428,0.01,0.01,0.0,0.01,0.01,0.078,0.23,0.0
139,0.01,0.01,0.0,0.0,0.0,0.0,0.0885,0.0,0.03,0.01,0.0
140,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.01,0.0325,0.06666666666666667,0.0
141,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
142,0.0,0.01,0.0375,0.0,0.013333333333333332,0.01,0.04,0.0,0.08,0.2,0.0
143,0.96,0.0,0.006666666666666666,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0
144,0.0,0.01,0.06666666666666667,0.0,0.01,0.0,0.09,0.0,0.16,0.0,0.01
145,0.01,0.045,0.016666666666666666,0.0,0.0,0.0,0.01,0.0,0.03,0.002,0.0
146,0.83,0.0,0.051666666666666666,0.02,0.03,0.0,0.0,0.01,0.01,0.09,0.01
147,0.45,0.03,0.03833333333333334,0.0,0.03,0.03666666666666667,0.0,0.005,0.056666666666666664,0.08,0.04
148,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02333333333333333,0.21,0.0
