file_id,cell_line
247,HEK 293
1682,CACO-2
2168,A549
235,CACO-2
1766,CACO-2
6905,U-251 MG
1163,HEK 293
3756,MCF7
4428,A549
6364,CACO-2
3944,MCF7
5482,HEK 293
4941,CACO-2
6361,MCF7
3899,U-251 MG
7091,HEK 293
242,MCF7
3419,CACO-2
5122,HEK 293
7121,HeLa
6998,RT4
7636,A549
3932,U-251 MG
4657,CACO-2
2112,MCF7
6200,A549
135,RT4
8687,HEK 293
1350,RT4
1764,CACO-2
1622,RT4
8349,PC-3
5897,MCF7
6694,CACO-2
3333,RT4
1646,CACO-2
8790,MCF7
5865,HEK 293
5443,RT4
73,HEK 293
3495,U-2 OS
8634,RT4
9296,A549
4075,CACO-2
3937,MCF7
1316,RT4
2194,U-2 OS
1343,HEK 293
789,HEK 293
4336,MCF7
7041,HEK 293
5356,MCF7
455,RT4
8786,RT4
144,A549
8802,CACO-2
82,CACO-2
6428,CACO-2
4159,U-251 MG
6762,U-251 MG
111,RT4
729,RT4
8397,RT4
8936,HEK 293
6727,HEK 293
4283,HEK 293
3498,RT4
5201,U-251 MG
7688,U-2 OS
8232,PC-3
977,HEK 293
6106,HEK 293
3193,RT4
372,PC-3
1723,HEK 293
2708,HEK 293
8497,A549
856,HEK 293
103,A549
7697,MCF7
4006,RT4
5977,RT4
1374,A549
5302,RT4
9235,RT4
3277,MCF7
6585,HEK 293
4794,HEK 293
4120,RT4
1887,HEK 293
1176,HeLa
9332,CACO-2
7571,U-2 OS
5717,RT4
8197,PC-3
3368,RT4
2016,U-2 OS
2525,MCF7
3455,MCF7
4269,A549
5382,HeLa
8589,HEK 293
5250,CACO-2
2527,PC-3
6335,RT4
7495,RT4
9199,MCF7
9016,RT4
2262,HeLa
1251,HEK 293
9169,RT4
6692,A549
9082,U-2 OS
6257,U-251 MG
7284,RT4
1599,PC-3
3754,PC-3
3626,U-2 OS
1715,CACO-2
8267,RT4
2947,RT4
403,HEK 293
3331,RT4
3338,RT4
325,U-251 MG
9033,MCF7
934,RT4
4771,HeLa
1391,RT4
1008,RT4
8032,U-2 OS
352,RT4
3308,CACO-2
3584,U-251 MG
4852,A549
5304,HeLa
9386,RT4
8014,U-251 MG
6628,U-2 OS
6180,RT4
9102,HEK 293
8299,RT4
134,RT4
8492,CACO-2
6988,RT4
4384,RT4
8367,RT4
220,A549
2208,HEK 293
2537,U-2 OS
2137,RT4
6384,HeLa
1878,RT4
8517,U-2 OS
8224,HEK 293
5089,U-251 MG
718,CACO-2
3994,RT4
8766,PC-3
4765,U-2 OS
2829,PC-3
8655,RT4
7554,RT4
1201,HEK 293
9534,RT4
3073,CACO-2
9628,PC-3
8346,CACO-2
8430,CACO-2
6176,RT4
7689,HeLa
7371,RT4
1218,U-2 OS
58,MCF7
5404,CACO-2
8294,A549
4365,U-251 MG
6520,HEK 293
3293,U-2 OS
7436,PC-3
5334,HeLa
305,A549
1707,HEK 293
7662,CACO-2
384,CACO-2
2592,RT4
4118,RT4
8924,RT4
4608,CACO-2
2951,U-2 OS
5697,CACO-2
7681,HeLa
6467,HEK 293
7846,U-2 OS
123,PC-3
8056,MCF7
9088,RT4
1155,HEK 293
2945,RT4
1692,RT4
2819,PC-3
8577,MCF7
7538,CACO-2
1117,CACO-2
4640,U-251 MG
9250,A549
2773,PC-3
7469,U-2 OS
8191,HEK 293
7387,A549
1234,RT4
2861,HeLa
407,CACO-2
1092,HeLa
1840,A549
8747,CACO-2
8760,HEK 293
9504,RT4
923,MCF7
2487,PC-3
6643,U-2 OS
1288,HeLa
8803,A549
4023,A549
3280,PC-3
6485,HeLa
6742,RT4
5814,HEK 293
1990,HEK 293
9166,MCF7
3621,HEK 293
4801,U-251 MG
8690,HeLa
2573,U-251 MG
7750,RT4
1673,HEK 293
2127,RT4
3387,HEK 293
8918,PC-3
1215,U-2 OS
6343,MCF7
2744,A549
1683,HeLa
2562,RT4
4029,PC-3
7889,HEK 293
7623,CACO-2
6295,A549
5373,U-251 MG
5956,PC-3
280,A549
8257,HEK 293
6788,RT4
7532,U-2 OS
4140,HEK 293
270,MCF7
8654,CACO-2
3605,PC-3
4782,RT4
3848,HEK 293
2679,HEK 293
6724,HEK 293
4824,U-2 OS
8139,CACO-2
8559,U-251 MG
8851,HEK 293
2393,RT4
9218,RT4
7029,CACO-2
2351,RT4
3000,RT4
3391,CACO-2
6942,CACO-2
